day,Date,time,open,high,low,close,index
Monday,2020-01-06,12:00:00,1.1203,1.1204,1.1194,1.1198,224
Monday,2020-01-06,13:00:00,1.1198,1.1203,1.1189,1.1198,223
Monday,2020-01-06,14:00:00,1.1198,1.12,1.1181,1.1183,222
Monday,2020-01-06,15:00:00,1.1183,1.119,1.118,1.1189,221
Monday,2020-01-06,16:00:00,1.1189,1.119,1.118,1.1187,220
Monday,2020-01-06,17:00:00,1.1187,1.1196,1.1182,1.1194,219
Monday,2020-01-06,18:00:00,1.1195,1.1198,1.119,1.1192,218
Monday,2020-01-06,19:00:00,1.1192,1.1193,1.1186,1.1191,217
Monday,2020-01-06,20:00:00,1.1191,1.1194,1.1187,1.1194,216
Monday,2020-01-06,21:00:00,1.1193,1.1199,1.1191,1.1197,215
Monday,2020-01-06,22:00:00,1.1197,1.1197,1.1192,1.1196,214
Monday,2020-01-06,23:00:00,1.1196,1.1198,1.1192,1.1195,213
Monday,2020-01-13,00:00:00,1.1116,1.1119,1.1114,1.1118,116
Monday,2020-01-13,01:00:00,1.1119,1.1121,1.1116,1.1121,115
Monday,2020-01-13,02:00:00,1.112,1.1126,1.1118,1.1126,114
Monday,2020-01-13,03:00:00,1.1126,1.113,1.1124,1.1129,113
Monday,2020-01-13,04:00:00,1.1129,1.1131,1.1126,1.1127,112
Monday,2020-01-13,05:00:00,1.1126,1.1132,1.1125,1.1129,111
Monday,2020-01-13,06:00:00,1.113,1.113,1.1123,1.1129,110
Monday,2020-01-13,07:00:00,1.1129,1.113,1.112,1.1123,109
Monday,2020-01-13,08:00:00,1.1123,1.113,1.1119,1.1128,108
Monday,2020-01-13,09:00:00,1.1128,1.1136,1.1113,1.1115,107
Monday,2020-01-13,10:00:00,1.1115,1.112,1.1111,1.1117,106
Monday,2020-01-13,11:00:00,1.1117,1.1124,1.1115,1.112,105
Monday,2020-01-13,12:00:00,1.112,1.1126,1.1117,1.1125,104
Monday,2020-01-13,13:00:00,1.1124,1.1128,1.1117,1.1119,103
Monday,2020-01-13,14:00:00,1.1119,1.1127,1.1116,1.1124,102
Monday,2020-01-13,15:00:00,1.1124,1.1138,1.1119,1.1133,101
Monday,2020-01-13,16:00:00,1.1133,1.1147,1.1131,1.1137,100
Monday,2020-01-13,17:00:00,1.1137,1.1142,1.1134,1.1139,99
Monday,2020-01-13,18:00:00,1.114,1.1145,1.1137,1.1139,98
Monday,2020-01-13,19:00:00,1.114,1.1141,1.1136,1.1137,97
Monday,2020-01-13,20:00:00,1.1138,1.1139,1.1134,1.1138,96
Monday,2020-01-13,21:00:00,1.1138,1.1138,1.1132,1.1134,95
Monday,2020-01-13,22:00:00,1.1134,1.1139,1.113,1.1135,94
Monday,2020-01-13,23:00:00,1.1135,1.1137,1.1132,1.1134,93
Thursday,2020-01-02,00:00:00,1.1219,1.1219,1.1213,1.1218,284
