Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/11/16, 00:00:00, 28135, 28326, 28093, 28289, 128042, 134284
2017/11/17, 00:00:00, 28307, 28541, 28290, 28424, 110507, 135126
2017/11/20, 00:00:00, 28424, 28469, 28292, 28429, 173884, 140031
2017/11/21, 00:00:00, 28432, 29082, 28428, 29081, 167469, 144338
2017/11/22, 00:00:00, 29084, 30572, 29073, 29277, 182700, 129021
2017/11/23, 00:00:00, 29276, 29399, 28838, 29051, 182769, 111870
2017/11/24, 00:00:00, 29070, 29190, 28968, 29141, 205376, 68805
2017/11/27, 00:00:00, 29138, 29276, 28872, 29001, 172939, 39959
2017/11/28, 00:00:00, 29004, 29098, 28604, 28890, 24110, 16619
2017/11/29, 00:00:00, 28886, 29077, 28790, 28864, 185453, 144554
2017/11/30, 00:00:00, 28859, 28888, 28336, 28516, 178353, 147664
2017/12/1, 00:00:00, 28519, 28635, 28245, 28313, 174580, 144935
2017/12/4, 00:00:00, 28311, 28551, 28001, 28390, 158487, 144126
2017/12/5, 00:00:00, 28377, 28446, 28057, 28093, 248033, 145060
2017/12/6, 00:00:00, 28077, 28215, 27364, 27403, 197003, 146980
2017/12/7, 00:00:00, 27427, 27676, 27346, 27509, 165621, 142407
2017/12/8, 00:00:00, 27518, 27912, 27423, 27817, 142839, 140059
2017/12/11, 00:00:00, 27824, 28178, 27784, 28103, 153663, 141133
2017/12/12, 00:00:00, 28112, 28245, 27936, 27996, 167654, 143014
2017/12/13, 00:00:00, 28008, 28515, 27922, 28421, 155774, 140265
2017/12/14, 00:00:00, 28414, 28636, 28242, 28396, 160755, 141301
2017/12/15, 00:00:00, 28399, 28411, 27933, 27987, 156866, 138072
2017/12/18, 00:00:00, 27999, 28355, 27918, 28325, 132912, 141869
2017/12/19, 00:00:00, 28319, 28578, 28291, 28444, 122247, 137286
2017/12/20, 00:00:00, 28463, 28536, 28287, 28498, 175461, 114624
2017/12/21, 00:00:00, 28498, 28645, 28330, 28555, 199678, 78732
2017/12/22, 00:00:00, 28577, 28814, 28524, 28804, 130714, 45842
2017/12/27, 00:00:00, 28795, 28926, 28739, 28869, 17257, 29484
2017/12/28, 00:00:00, 28860, 29102, 28784, 29081, 98974, 132662
2017/12/29, 00:00:00, 29086, 29168, 29012, 29089, 122832, 139437
2018/1/2, 00:00:00, 29096, 29707, 29082, 29674, 142553, 139982
2018/1/3, 00:00:00, 29658, 29891, 29634, 29756, 132471, 141742
2018/1/4, 00:00:00, 29757, 29936, 29732, 29889, 120994, 141252
2018/1/5, 00:00:00, 29882, 30053, 29834, 29905, 131330, 139855
2018/1/8, 00:00:00, 29912, 30091, 29873, 29977, 135741, 139532
2018/1/9, 00:00:00, 29979, 30199, 29852, 30126, 166527, 139083
2018/1/10, 00:00:00, 30138, 30441, 30085, 30211, 132726, 139544
2018/1/11, 00:00:00, 30214, 30284, 30122, 30236, 141709, 135950
2018/1/12, 00:00:00, 30234, 30550, 30213, 30548, 181666, 139565
2018/1/15, 00:00:00, 30558, 30862, 30419, 30461, 188492, 142363
2018/1/16, 00:00:00, 30461, 31099, 30445, 31049, 196762, 140741
2018/1/17, 00:00:00, 31051, 31156, 30814, 31096, 209778, 139765
2018/1/18, 00:00:00, 31102, 31343, 30978, 31202, 158946, 139809
2018/1/19, 00:00:00, 31216, 31389, 31124, 31376, 167635, 139682
2018/1/22, 00:00:00, 31384, 31522, 31152, 31490, 219289, 141495
2018/1/23, 00:00:00, 31487, 32071, 31473, 32052, 209898, 143235
2018/1/24, 00:00:00, 32047, 32139, 31869, 32038, 269148, 115021
2018/1/25, 00:00:00, 32044, 32237, 31761, 31821, 263808, 75157
2018/1/26, 00:00:00, 31840, 32344, 31753, 32295, 211930, 40424
2018/1/29, 00:00:00, 32316, 32657, 31995, 32041, 30964, 23808
2018/1/30, 00:00:00, 32039, 32151, 31618, 31834, 249512, 139850
2018/1/31, 00:00:00, 31843, 32108, 31472, 32023, 200005, 138509
2018/2/1, 00:00:00, 32023, 32170, 31746, 31829, 221736, 138560
2018/2/2, 00:00:00, 31820, 31922, 31447, 31687, 237885, 136606
2018/2/5, 00:00:00, 31677, 31677, 30814, 31220, 322511, 136264
2018/2/6, 00:00:00, 31245, 31383, 29666, 29894, 310287, 130864
2018/2/7, 00:00:00, 29952, 30556, 29246, 29373, 241287, 126429
2018/2/8, 00:00:00, 29334, 29992, 29290, 29543, 239530, 128048
2018/2/9, 00:00:00, 29554, 29605, 28249, 28508, 180692, 127197
2018/2/12, 00:00:00, 28511, 28888, 28179, 28601, 178426, 121788
2018/2/13, 00:00:00, 28662, 29268, 28559, 28869, 155130, 120284
2018/2/14, 00:00:00, 28879, 29764, 28696, 29480, 105253, 123725
2018/2/15, 00:00:00, 29483, 30215, 29134, 30144, 136886, 116500
2018/2/20, 00:00:00, 30366, 30458, 29787, 29930, 130757, 121273
2018/2/21, 00:00:00, 29926, 30571, 29786, 30546, 166153, 106384
2018/2/22, 00:00:00, 30518, 30697, 30066, 30129, 191539, 68157
2018/2/23, 00:00:00, 30123, 30550, 30086, 30356, 149067, 26174
2018/2/26, 00:00:00, 30349, 30731, 30312, 30693, 30207, 16376
2018/2/27, 00:00:00, 30699, 30972, 30288, 30587, 179401, 110026
2018/2/28, 00:00:00, 30574, 30621, 29848, 29918, 196471, 109568
2018/3/1, 00:00:00, 29974, 30269, 29543, 30214, 185719, 109270
2018/3/2, 00:00:00, 30189, 30189, 29614, 29720, 221660, 108640
2018/3/5, 00:00:00, 29699, 29861, 28976, 29112, 178298, 108321
2018/3/6, 00:00:00, 29140, 29781, 29020, 29671, 211726, 109007
2018/3/7, 00:00:00, 29646, 29844, 29246, 29388, 163175, 109574
2018/3/8, 00:00:00, 29374, 29927, 29302, 29847, 143314, 110464
2018/3/9, 00:00:00, 29857, 30230, 29806, 30182, 149597, 109060
2018/3/12, 00:00:00, 30177, 30826, 30144, 30780, 138433, 109723
2018/3/13, 00:00:00, 30777, 30900, 30628, 30772, 167168, 107637
2018/3/14, 00:00:00, 30801, 30881, 30298, 30639, 175992, 108308
2018/3/15, 00:00:00, 30647, 30806, 30237, 30726, 156296, 106138
2018/3/16, 00:00:00, 30746, 30840, 30454, 30636, 144715, 105876
2018/3/19, 00:00:00, 30653, 30863, 30395, 30579, 175292, 106316
2018/3/20, 00:00:00, 30588, 30773, 30297, 30734, 202233, 107757
2018/3/21, 00:00:00, 30711, 31191, 30522, 30540, 210046, 107039
2018/3/22, 00:00:00, 30558, 30890, 30175, 30237, 298488, 100097
2018/3/23, 00:00:00, 30208, 30208, 29042, 29333, 266165, 77827
2018/3/26, 00:00:00, 29306, 29763, 29124, 29718, 202641, 41688
2018/3/27, 00:00:00, 29708, 30135, 29440, 29965, 36766, 22257
2018/3/28, 00:00:00, 29978, 30041, 29493, 29523, 36766, 0
2018/3/29, 00:00:00, 29119, 29419, 28938, 29236, 194482, 112678
2018/4/3, 00:00:00, 29246, 29504, 28936, 29338, 225223, 114327
2018/4/4, 00:00:00, 29322, 29501, 28529, 28591, 209114, 115549
2018/4/6, 00:00:00, 28574, 29163, 28333, 29023, 219306, 117595
2018/4/9, 00:00:00, 29034, 29766, 28938, 29469, 219630, 115522
2018/4/10, 00:00:00, 29446, 30002, 29247, 29947, 187282, 115007
2018/4/11, 00:00:00, 29929, 30186, 29810, 30077, 213280, 114380
2018/4/12, 00:00:00, 30083, 30337, 29791, 29953, 174329, 113369
2018/4/13, 00:00:00, 29934, 30266, 29892, 30053, 218858, 111182
2018/4/16, 00:00:00, 30062, 30186, 29344, 29366, 235251, 113423
2018/4/17, 00:00:00, 29375, 29713, 29178, 29241, 254191, 112440
2018/4/18, 00:00:00, 29246, 29695, 29141, 29499, 234075, 115063
2018/4/19, 00:00:00, 29515, 29977, 29400, 29944, 242030, 112630
2018/4/20, 00:00:00, 29942, 30065, 29503, 29544, 247551, 110683
2018/4/23, 00:00:00, 29554, 29688, 29331, 29429, 276683, 92904
2018/4/24, 00:00:00, 29424, 29886, 29351, 29823, 291449, 49639
2018/4/25, 00:00:00, 29828, 29968, 29365, 29365, 219809, 19753
2018/4/26, 00:00:00, 29371, 29641, 29023, 29223, 28984, 10546
2018/4/27, 00:00:00, 29230, 29501, 29210, 29413, 153389, 114823
2018/4/30, 00:00:00, 29392, 30074, 29367, 30015, 202714, 112746
2018/5/2, 00:00:00, 30024, 30046, 29742, 29905, 238984, 108521
2018/5/3, 00:00:00, 29917, 29939, 29251, 29406, 268154, 106156
2018/5/4, 00:00:00, 29426, 29519, 28994, 29130, 252229, 106458
2018/5/7, 00:00:00, 29109, 29396, 28925, 29107, 209296, 111112
2018/5/8, 00:00:00, 29104, 29615, 29029, 29552, 226974, 114252
2018/5/9, 00:00:00, 29547, 29770, 29372, 29768, 201509, 117556
2018/5/10, 00:00:00, 29770, 30050, 29646, 30029, 210596, 118674
2018/5/11, 00:00:00, 30030, 30493, 29976, 30444, 186051, 120316
2018/5/14, 00:00:00, 30433, 30825, 30387, 30808, 182405, 120793
2018/5/15, 00:00:00, 30822, 30849, 30308, 30340, 226124, 115707
2018/5/16, 00:00:00, 30346, 30435, 29991, 30284, 202798, 116402
2018/5/17, 00:00:00, 30267, 30670, 30167, 30230, 185581, 115518
2018/5/18, 00:00:00, 30212, 30427, 30132, 30246, 185737, 115823
2018/5/21, 00:00:00, 30258, 30757, 30097, 30576, 205106, 113965
2018/5/23, 00:00:00, 30577, 30638, 29872, 29895, 210120, 105937
2018/5/24, 00:00:00, 29901, 30118, 29835, 30049, 242836, 82087
2018/5/25, 00:00:00, 30051, 30112, 29726, 29994, 205584, 52666
2018/5/28, 00:00:00, 30005, 30208, 29835, 30110, 134071, 21547
2018/5/29, 00:00:00, 29994, 30061, 29768, 29775, 40186, 8114
2018/5/30, 00:00:00, 29766, 29838, 29257, 29327, 208071, 110398
2018/5/31, 00:00:00, 29334, 29976, 29310, 29960, 208268, 110512
2018/6/1, 00:00:00, 29958, 29958, 29702, 29858, 183488, 108242
2018/6/4, 00:00:00, 29840, 30413, 29827, 30362, 191284, 110281
2018/6/5, 00:00:00, 30371, 30626, 30275, 30526, 186804, 114202
2018/6/6, 00:00:00, 30546, 30740, 30409, 30664, 182865, 118097
2018/6/7, 00:00:00, 30686, 31007, 30617, 30998, 201296, 114391
2018/6/8, 00:00:00, 30973, 30976, 30261, 30303, 175751, 112253
2018/6/11, 00:00:00, 30309, 30583, 30281, 30506, 191084, 113304
2018/6/12, 00:00:00, 30506, 30700, 30336, 30505, 167079, 113027
2018/6/13, 00:00:00, 30503, 30508, 30100, 30206, 212268, 114300
2018/6/14, 00:00:00, 30213, 30287, 29733, 29877, 199765, 113497
2018/6/15, 00:00:00, 29894, 30039, 29683, 29721, 269264, 115330
2018/6/19, 00:00:00, 29723, 29758, 28730, 28834, 278612, 112046
2018/6/20, 00:00:00, 28870, 29432, 28767, 29128, 270058, 112555
2018/6/21, 00:00:00, 29176, 29323, 28697, 28759, 262120, 108746
2018/6/22, 00:00:00, 28728, 28890, 28470, 28798, 266573, 97425
2018/6/25, 00:00:00, 28804, 28916, 28327, 28416, 324735, 70809
2018/6/26, 00:00:00, 28440, 28496, 27939, 28408, 231057, 29691
2018/6/27, 00:00:00, 28415, 28510, 27738, 27835, 45169, 14961
2018/6/28, 00:00:00, 27843, 28184, 27639, 27938, 228140, 107247
2018/6/29, 00:00:00, 27929, 28440, 27793, 28401, 305855, 108651
2018/7/3, 00:00:00, 28388, 28430, 27450, 27992, 240709, 124618
2018/7/4, 00:00:00, 28010, 28162, 27603, 27721, 253641, 107696
2018/7/5, 00:00:00, 27722, 27935, 27395, 27872, 305850, 109082
2018/7/6, 00:00:00, 27868, 28168, 27495, 27895, 220217, 109318
2018/7/9, 00:00:00, 27865, 28524, 27764, 28401, 227882, 108917
2018/7/10, 00:00:00, 28396, 28688, 28235, 28325, 241933, 106540
2018/7/11, 00:00:00, 28294, 28374, 27567, 27963, 203608, 106815
2018/7/12, 00:00:00, 27970, 28307, 27837, 28162, 170936, 106512
2018/7/13, 00:00:00, 28175, 28444, 28135, 28233, 200194, 106003
2018/7/16, 00:00:00, 28223, 28377, 27975, 28185, 186597, 105928
2018/7/17, 00:00:00, 28188, 28209, 27796, 27869, 204547, 106849
2018/7/18, 00:00:00, 27883, 28085, 27687, 27755, 192108, 107313
2018/7/19, 00:00:00, 27762, 27990, 27629, 27714, 251667, 109065
2018/7/20, 00:00:00, 27701, 27974, 27407, 27899, 223832, 106358
2018/7/23, 00:00:00, 27913, 28057, 27694, 27884, 187231, 105156
2018/7/24, 00:00:00, 27887, 28388, 27839, 28318, 216581, 83482
2018/7/25, 00:00:00, 28320, 28648, 28320, 28586, 239315, 52111
2018/7/26, 00:00:00, 28587, 28788, 28291, 28418, 170083, 21542
2018/7/27, 00:00:00, 28420, 28511, 28262, 28404, 29414, 11183
2018/7/30, 00:00:00, 28390, 28508, 28204, 28363, 173580, 98474
2018/7/31, 00:00:00, 28366, 28480, 28110, 28117, 214392, 100304
2018/8/1, 00:00:00, 28137, 28515, 27850, 27982, 245584, 99761
2018/8/2, 00:00:00, 27971, 28021, 27187, 27292, 201311, 101643
2018/8/3, 00:00:00, 27268, 27445, 27131, 27300, 217625, 101524
2018/8/6, 00:00:00, 27296, 27703, 27296, 27415, 208781, 99676
2018/8/7, 00:00:00, 27407, 27921, 27388, 27891, 187093, 98527
2018/8/8, 00:00:00, 27905, 28061, 27829, 27921, 207741, 97501
2018/8/9, 00:00:00, 27913, 28346, 27747, 28218, 174985, 96579
2018/8/10, 00:00:00, 28223, 28333, 27860, 27900, 201642, 96974
2018/8/13, 00:00:00, 27908, 27953, 27391, 27554, 214987, 96790
2018/8/14, 00:00:00, 27568, 27711, 27131, 27324, 215689, 101091
2018/8/15, 00:00:00, 27310, 27415, 26837, 26917, 295768, 101546
2018/8/16, 00:00:00, 26906, 27053, 26329, 26731, 183082, 100033
2018/8/17, 00:00:00, 26750, 27019, 26692, 26823, 221843, 98966
2018/8/20, 00:00:00, 26822, 27242, 26562, 27206, 187503, 97589
2018/8/21, 00:00:00, 27206, 27387, 27119, 27314, 209064, 95915
2018/8/22, 00:00:00, 27316, 27594, 27185, 27539, 202768, 95312
2018/8/23, 00:00:00, 27552, 27669, 27267, 27374, 200220, 91919
2018/8/24, 00:00:00, 27386, 27469, 27134, 27282, 210850, 80006
2018/8/27, 00:00:00, 27281, 27960, 27207, 27939, 219449, 52431
2018/8/28, 00:00:00, 27942, 28236, 27888, 27979, 139159, 24824
2018/8/29, 00:00:00, 27972, 28161, 27877, 28032, 28132, 14342
2018/8/30, 00:00:00, 28028, 28270, 27793, 27818, 193666, 100368
2018/8/31, 00:00:00, 27813, 27819, 27384, 27515, 182630, 98987
2018/9/3, 00:00:00, 27497, 27610, 27266, 27395, 209062, 97759
2018/9/4, 00:00:00, 27396, 27700, 27202, 27632, 258151, 102982
2018/9/5, 00:00:00, 27627, 27627, 26850, 26855, 267986, 105335
2018/9/6, 00:00:00, 26869, 26974, 26518, 26732, 280535, 108412
2018/9/7, 00:00:00, 26738, 26915, 26334, 26585, 250758, 107796
2018/9/10, 00:00:00, 26608, 26642, 26106, 26381, 247145, 111233
2018/9/11, 00:00:00, 26390, 26461, 26040, 26055, 272067, 109776
2018/9/12, 00:00:00, 26036, 26186, 25770, 26091, 275973, 109579
2018/9/13, 00:00:00, 26078, 26790, 25972, 26737, 254678, 109106
2018/9/14, 00:00:00, 26733, 27095, 26709, 27005, 225060, 108042
2018/9/17, 00:00:00, 27015, 27032, 26461, 26641, 275784, 111545
2018/9/18, 00:00:00, 26640, 26919, 26355, 26791, 240228, 111185
2018/9/19, 00:00:00, 26801, 27244, 26767, 27161, 245697, 107785
2018/9/20, 00:00:00, 27153, 27375, 27044, 27209, 282994, 97561
2018/9/21, 00:00:00, 27206, 27732, 27206, 27690, 192251, 81236
2018/9/24, 00:00:00, 27695, 27695, 27138, 27215, 230938, 33178
2018/9/26, 00:00:00, 27210, 27787, 27143, 27568, 41966, 19576
2018/9/27, 00:00:00, 27573, 27692, 27360, 27440, 221516, 99264
2018/9/28, 00:00:00, 27439, 27667, 27381, 27609, 222295, 106364
2018/10/2, 00:00:00, 27606, 27606, 26723, 26726, 212171, 107770
2018/10/3, 00:00:00, 26723, 26984, 26603, 26789, 203632, 109835
2018/10/4, 00:00:00, 26751, 26907, 26222, 26295, 202559, 110804
2018/10/5, 00:00:00, 26288, 26364, 25975, 26191, 263452, 112389
2018/10/8, 00:00:00, 26191, 26503, 25860, 25881, 262286, 114621
2018/10/9, 00:00:00, 25879, 26074, 25703, 25792, 264342, 115159
2018/10/10, 00:00:00, 25793, 26202, 25679, 25897, 309253, 116565
2018/10/11, 00:00:00, 25905, 25988, 24855, 24920, 322934, 116881
2018/10/12, 00:00:00, 24918, 25520, 24812, 25422, 233336, 118837
2018/10/15, 00:00:00, 25408, 25509, 25062, 25078, 258268, 122895
2018/10/16, 00:00:00, 25072, 25412, 24940, 25119, 251213, 121693
2018/10/18, 00:00:00, 25112, 25507, 24943, 25139, 312860, 123206
2018/10/19, 00:00:00, 25134, 25455, 24778, 25190, 298404, 120391
2018/10/22, 00:00:00, 25206, 25954, 25114, 25864, 316388, 125824
2018/10/23, 00:00:00, 25866, 25895, 24998, 25068, 375655, 123464
2018/10/24, 00:00:00, 25037, 25386, 24782, 24944, 338502, 107890
2018/10/25, 00:00:00, 24937, 25140, 24333, 24628, 342444, 78042
2018/10/26, 00:00:00, 24625, 24878, 24258, 24389, 275217, 37069
2018/10/29, 00:00:00, 24366, 24729, 24189, 24497, 54546, 19618
2018/10/30, 00:00:00, 24503, 24769, 24277, 24325, 268862, 119924
2018/10/31, 00:00:00, 24314, 24697, 24210, 24647, 262464, 124636
2018/11/1, 00:00:00, 24655, 25252, 24594, 25078, 330517, 126362
2018/11/2, 00:00:00, 25086, 26238, 25059, 26229, 300021, 126055
2018/11/5, 00:00:00, 26222, 26494, 25456, 25633, 238349, 125064
2018/11/6, 00:00:00, 25622, 25902, 25535, 25772, 299744, 125529
2018/11/7, 00:00:00, 25768, 26260, 25597, 25897, 234765, 125625
2018/11/8, 00:00:00, 25900, 26350, 25840, 25960, 234982, 123346
2018/11/9, 00:00:00, 25940, 25965, 25143, 25201, 232106, 122732
2018/11/12, 00:00:00, 25197, 25489, 25048, 25287, 304766, 123679
2018/11/13, 00:00:00, 25282, 25595, 24742, 25573, 256305, 126768
2018/11/14, 00:00:00, 25543, 25729, 25166, 25290, 275740, 127266
2018/11/15, 00:00:00, 25274, 25872, 25212, 25783, 269548, 128317
2018/11/16, 00:00:00, 25770, 25929, 25521, 25851, 245693, 131701
