,index,date,open,high,low,close,Day of Week
51,384,2019-12-31 19:00:00,1.1223,1.1224,1.1215,1.1217,Tuesday
52,383,2019-12-31 20:00:00,1.1217,1.1218,1.1213,1.1217,Tuesday
53,382,2019-12-31 21:00:00,1.1217,1.1217,1.1208,1.1211,Tuesday
54,381,2019-12-31 22:00:00,1.1213,1.1213,1.1213,1.1213,Tuesday
55,380,2019-12-31 23:00:00,1.1212,1.1212,1.1212,1.1212,Tuesday
56,235,2020-01-07 00:00:00,1.1195,1.1196,1.1188,1.119,Tuesday
57,234,2020-01-07 01:00:00,1.119,1.1197,1.1188,1.1193,Tuesday
58,233,2020-01-07 02:00:00,1.1194,1.1194,1.1189,1.1191,Tuesday
59,232,2020-01-07 03:00:00,1.1191,1.1194,1.119,1.1192,Tuesday
60,231,2020-01-07 04:00:00,1.1192,1.1194,1.1189,1.1191,Tuesday
61,230,2020-01-07 05:00:00,1.1191,1.1193,1.1181,1.1183,Tuesday
62,229,2020-01-07 06:00:00,1.1182,1.119,1.118,1.1182,Tuesday
63,228,2020-01-07 07:00:00,1.1182,1.1185,1.1171,1.1174,Tuesday
64,227,2020-01-07 08:00:00,1.1174,1.1187,1.1171,1.1184,Tuesday
65,226,2020-01-07 09:00:00,1.1185,1.119,1.1179,1.1184,Tuesday
66,225,2020-01-07 10:00:00,1.1184,1.1186,1.1164,1.1176,Tuesday
67,224,2020-01-07 11:00:00,1.1176,1.1185,1.117,1.1182,Tuesday
68,223,2020-01-07 12:00:00,1.1182,1.1183,1.1169,1.1175,Tuesday
69,222,2020-01-07 13:00:00,1.1175,1.1178,1.1153,1.1156,Tuesday
70,221,2020-01-07 14:00:00,1.1156,1.1162,1.1145,1.1148,Tuesday
71,220,2020-01-07 15:00:00,1.1148,1.1152,1.1133,1.1142,Tuesday
72,219,2020-01-07 16:00:00,1.1142,1.1144,1.1132,1.1136,Tuesday
73,218,2020-01-07 17:00:00,1.1137,1.1147,1.1135,1.1142,Tuesday
74,217,2020-01-07 18:00:00,1.1142,1.115,1.114,1.1143,Tuesday
75,216,2020-01-07 19:00:00,1.1143,1.1145,1.114,1.1144,Tuesday
76,215,2020-01-07 20:00:00,1.1145,1.1148,1.1141,1.1144,Tuesday
77,214,2020-01-07 21:00:00,1.1144,1.1154,1.1142,1.1152,Tuesday
78,213,2020-01-07 22:00:00,1.1152,1.1154,1.1141,1.1148,Tuesday
79,212,2020-01-07 23:00:00,1.1147,1.1154,1.1146,1.1154,Tuesday
