Date, Time, Open, High, Low, Last, Volume, OpenInterest
2019/3/4, 00:00:00, 28512, 29027, 27948, 28008, 1135614, 127787
2019/3/11, 00:00:00, 28012, 29022, 27788, 28818, 1082216, 130708
2019/3/18, 00:00:00, 28822, 29402, 28610, 28856, 1170897, 105523
2019/3/25, 00:00:00, 28837, 28905, 28182, 28801, 1045197, 120998
2019/4/1, 00:00:00, 28796, 29855, 28758, 29727, 780486, 126174
2019/4/8, 00:00:00, 29717, 30019, 29430, 29674, 1049869, 121809
2019/4/15, 00:00:00, 29702, 30060, 29408, 29664, 880498, 115856
2019/4/23, 00:00:00, 29678, 29853, 29136, 29304, 1008611, 117282
2019/4/29, 00:00:00, 29288, 29803, 29275, 29791, 787319, 118874
2019/5/6, 00:00:00, 29790, 29975, 27682, 28255, 1420710, 115124
2019/5/14, 00:00:00, 28240, 28302, 27530, 27658, 951250, 116163
2019/5/20, 00:00:00, 27643, 27778, 27048, 27235, 1097570, 96660
2019/5/27, 00:00:00, 27242, 27379, 26773, 26787, 1064695, 111646
2019/6/3, 00:00:00, 26797, 27074, 26575, 26918, 812531, 115633
2019/6/10, 00:00:00, 26914, 27840, 26772, 27113, 1011206, 112318
2019/6/17, 00:00:00, 27118, 28758, 26977, 28492, 1086301, 97177
2019/6/24, 00:00:00, 28507, 28716, 28057, 28617, 942508, 111127
2019/7/2, 00:00:00, 28626, 29192, 28590, 28892, 689304, 104826
2019/7/8, 00:00:00, 28887, 28912, 28199, 28651, 916151, 102814
2019/7/15, 00:00:00, 28642, 28953, 28164, 28933, 874379, 106545
2019/7/22, 00:00:00, 28926, 28926, 28393, 28497, 918993, 22534
2019/7/29, 00:00:00, 28500, 28538, 26835, 26964, 965278, 113327
2019/8/5, 00:00:00, 26950, 27027, 25366, 26030, 1130649, 113390
2019/8/12, 00:00:00, 26041, 26158, 24938, 25779, 1163864, 110864
2019/8/19, 00:00:00, 25833, 26527, 25682, 26260, 1028620, 97482
2019/8/26, 00:00:00, 26249, 26269, 25303, 25829, 976259, 111519
2019/9/2, 00:00:00, 25848, 27018, 25532, 26803, 849561, 111757
2019/9/9, 00:00:00, 26810, 27606, 26725, 27528, 794158, 114760
2019/9/16, 00:00:00, 27526, 27613, 26564, 26644, 781347, 117668
2019/9/23, 00:00:00, 26652, 26743, 26019, 26205, 916333, 109973
2019/9/30, 00:00:00, 26184, 26437, 25783, 26004, 724395, 113807
2019/10/8, 00:00:00, 26017, 26663, 25724, 26627, 735119, 114879
2019/10/14, 00:00:00, 26637, 27233, 26590, 26892, 822797, 114742
2019/10/21, 00:00:00, 26892, 27113, 26674, 26903, 877302, 64569
2019/10/28, 00:00:00, 26908, 27359, 26772, 27357, 758132, 119949
2019/11/4, 00:00:00, 27351, 28158, 27335, 27889, 878824, 117108
2019/11/11, 00:00:00, 27883, 27929, 26387, 26489, 938342, 112409
2019/11/18, 00:00:00, 26504, 27332, 26436, 26832, 906774, 88482
2019/11/25, 00:00:00, 26820, 27476, 26446, 26456, 755251, 114108
2019/12/2, 00:00:00, 26496, 26699, 26072, 26626, 766194, 115407
2019/12/9, 00:00:00, 26630, 27869, 26385, 27827, 762598, 123141
2019/12/16, 00:00:00, 27842, 28155, 27570, 28063, 813709, 97242
2019/12/23, 00:00:00, 28071, 28341, 27921, 28323, 353655, 105478
2019/12/30, 00:00:00, 28312, 28947, 28198, 28443, 577563, 105892
2020/1/6, 00:00:00, 28430, 28726, 27865, 28666, 773612, 107698
2020/1/13, 00:00:00, 28655, 29222, 28649, 28818, 311972, 0
